issue_id,severity,status,evidence_path,manuscript_location,note
P1-1,P1,PASS,artifacts/ and audit/,paper/ictai2026_blind/main.tex,Status is updated only when the corresponding artifact and manuscript change are verified.
P1-2,P1,PASS,audit/leakage_audit.csv; tests/test_no_future.py,paper/ictai2026_blind/main.tex,Status is updated only when the corresponding artifact and manuscript change are verified.
P1-3,P1,PASS,artifacts/xai/group_size_sensitivity.csv; artifacts/xai/balanced_group_results.csv,paper/ictai2026_blind/main.tex,Status is updated only when the corresponding artifact and manuscript change are verified.
P1-4,P1,PASS,artifacts/xai/shap_family_share.csv; artifacts/metrics/same_task_baselines.csv,paper/ictai2026_blind/main.tex,Status is updated only when the corresponding artifact and manuscript change are verified.
P1-5,P1,PASS,artifacts/xai/local_case_decomposition.csv; artifacts/xai/shap_reconstruction_checks.csv; artifacts/xai/case_selection_log.csv,paper/ictai2026_blind/main.tex,Status is updated only when the corresponding artifact and manuscript change are verified.
P1-6,P1,PASS,artifacts/xai/conditional_permutation_results.csv; artifacts/xai/permutation_ood_diagnostics.csv,paper/ictai2026_blind/main.tex,Status is updated only when the corresponding artifact and manuscript change are verified.
P1-7,P1,PASS,artifacts/models/model_selection_log.csv; artifacts/models/final_model_config.yaml,paper/ictai2026_blind/main.tex,Status is updated only when the corresponding artifact and manuscript change are verified.
P1-8,P1,PASS,audit/claim_evidence_matrix.csv; paper/ictai2026_blind/main.tex,paper/ictai2026_blind/main.tex,Status is updated only when the corresponding artifact and manuscript change are verified.
P2-1,P2,PASS,artifacts/metrics/same_task_baselines.csv; artifacts/metrics/bootstrap_ci.csv,paper/ictai2026_blind/main.tex,Status is updated only when the corresponding artifact and manuscript change are verified.
P2-2,P2,PASS,audit/claim_evidence_matrix.csv; paper/ictai2026_blind/main.tex,paper/ictai2026_blind/main.tex,Status is updated only when the corresponding artifact and manuscript change are verified.
P2-3,P2,PASS,artifacts/ and audit/,paper/ictai2026_blind/main.tex,Status is updated only when the corresponding artifact and manuscript change are verified.
P2-4,P2,PASS,artifacts/ and audit/,paper/ictai2026_blind/main.tex,Status is updated only when the corresponding artifact and manuscript change are verified.
