feature,feature_family,nasa_power_variable,aggregation,window,unit,spatial_rule,missing_handling,availability
rain_sum,drought,PRECTOTCORR,sum(precipitation),full growing season,mm,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
rain_mean,drought,PRECTOTCORR,mean(precipitation),full growing season,mm day-1,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
dry_days_1mm,drought,PRECTOTCORR,count(precipitation < 1 mm),full growing season,days,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
dry_days_2mm,drought,PRECTOTCORR,count(precipitation < 2 mm),full growing season,days,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
max_dry_spell_1mm,drought,PRECTOTCORR,longest consecutive run with precipitation < 1 mm,full growing season,days,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
dry_spell_events_7d,drought,PRECTOTCORR,count(consecutive dry runs >= 7 days; precipitation < 1 mm),full growing season,events,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
dry_spell_events_14d,drought,PRECTOTCORR,count(consecutive dry runs >= 14 days; precipitation < 1 mm),full growing season,events,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
heavy_rain_days_10,excess_rain,PRECTOTCORR,count(precipitation >= 10 mm),full growing season,days,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
heavy_rain_days_20,excess_rain,PRECTOTCORR,count(precipitation >= 20 mm),full growing season,days,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
heavy_rain_days_25,excess_rain,PRECTOTCORR,count(precipitation >= 25 mm),full growing season,days,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
heavy_rain_days_50,excess_rain,PRECTOTCORR,count(precipitation >= 50 mm),full growing season,days,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
max_1day_rain,excess_rain,PRECTOTCORR,max(1-day precipitation),full growing season,mm,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
max_3day_rain,excess_rain,PRECTOTCORR,max trailing 3-day precipitation sum,full growing season,mm,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
max_7day_rain,excess_rain,PRECTOTCORR,max trailing 7-day precipitation sum,full growing season,mm,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
wet_days_1mm,excess_rain,PRECTOTCORR,count(precipitation >= 1 mm),full growing season,days,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
season_tmax_mean,heat,T2M_MAX,mean(maximum daily temperature),full growing season,degC,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
season_tmin_mean,frost_cold,T2M_MIN,mean(minimum daily temperature),full growing season,degC,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
