evidence_id,paper_claim,paper_location,primary_artifact,support_artifacts,reproduction_command,input_hash,output_hash,primary_artifact_sha256,missing_artifacts,status
E1,Train-only target construction and split eligibility are fixed before evaluation.,Data and Protocol; Table data-flow,artifacts/audit/split/split_manifest.csv,artifacts/targets/target_spec.md; artifacts/data/feature_matrix_schema.json; artifacts/data/feature_availability.csv; tests/test_no_future.py,python scripts/build_target_feature_contracts.py; python -m unittest tests.test_no_future tests.test_feature_contracts,0dfdf588349541207a93af0194734309f0db802ff1f122b4806b60933e2f9f1b,24c88cfce260446932f0904e52b4b73d807aaed7965654121f175d1aaec01319,7efc8d77dad6a8bdb10a062632660a5741c625446c6a4e40f09ef751f151c944,NONE,PASS
E2,The selected model is chosen only on validation metrics with fixed seeds and a tie rule.,Methods; validation selection table,artifacts/audit/selection/selected_config.json,artifacts/audit/selection/validation_model_grid.csv; artifacts/audit/selection/validation_seed_metrics.csv; artifacts/audit/selection/gate_b1_representatives.json; artifacts/audit/selection/gate_b1_representatives.csv; artifacts/audit_records/locked_test_access.json; artifacts/audit_records/validation_stability.csv,python scripts/run_audit.py --config configs/fidelity_gate.yaml --stage all,6a48ef7dd6a164f443e0d4376102c82c27b7cccf9da63cf8e2e46030ee4ca7e3,c0ef3ec47ee344927ab26230f3d7c0e840b7412077a3f173c6d06d2c4e1a8931,97bdba13ba7a0013e1ac61f76d58cdaca45a7ed23d558a1f65c044ec033db466,NONE,PASS
E3,Gate A and Gate B comparisons use paired year-block uncertainty on identical locked rows.,Gate definition; Figure 2,artifacts/gates/figure2_three_comparisons.json,artifacts/audit_records/paired_comparisons.csv; artifacts/audit/bootstrap/year_block_draws.csv; artifacts/gates/gate_b_decision.json; artifacts/tables/figure2_three_comparisons.csv,python scripts/run_audit.py --config configs/fidelity_gate.yaml --stage all; python scripts/build_audit_v2_assets.py,241847ee2d8134faabe9d8207090bae129c2d35a55a527209a277f8c3245315a,761293f30759fe7ba60e5c85a6ccc1b38440764a1716ae2f34cb2050e9c333c6,8f88ccf8ba9958d7a3a7576735b78c33a127374b385198919216088d1cf191d4,NONE,PASS
E4,"Tail, rank, and top-k gate components are reproducible from row-level locked predictions.",Below-trend gate tables,artifacts/audit/tail/tail_metrics_by_threshold.csv,artifacts/audit/tail/tail_event_predictions.csv; artifacts/audit_records/rank_null_audit.csv; artifacts/audit_records/topk_null_audit.csv; artifacts/audit_records/event_detection_metrics.csv,python scripts/run_audit.py --config configs/fidelity_gate.yaml --stage all,ae707cc41299f0a43c2d39da6b55503118a70a65acbf3f1e1f86befdddbc3d64,9e907c3cafc0bee2ab0db7df3d46c6c75509dae8548eddb2158cecf7c523be66,5549252d620778f52bee7ac405900c05f695ee7188b02cca52294f84c7a1c684,NONE,PASS
E5,Temporal robustness is evaluated by rolling-origin and prefix-capacity diagnostics.,Temporal and capacity table,artifacts/audit_records/temporal_and_capacity_audits.csv,artifacts/tables/robustness.csv; paper/generated/table_temporal_capacity.tex,python scripts/run_extended_audits.py,8c2091a0fa3584fc16b48c99c014fb26f8e9a71808f3aec442eb54ab32b34c3a,a11d63d363a899b4cd119d8bbdbbbadd2c1e4f7bed8ef21e4fe2d1da4150dda5,6fa50803e548fb725324cad4bf8b01a00d63788ea51801f937e15cd9d6f785fb,NONE,PASS
E6,"Stage-feature sensitivity is a sensitivity design, not a replacement for the primary feature set.",Robustness and sensitivity tables,artifacts/audit/stage_features/stage_feature_sensitivity.csv,artifacts/data/feature_availability.csv; paper/generated/table_feature_availability.tex,python scripts/run_extended_audits.py; python scripts/build_target_feature_contracts.py,4b033c673d2d6cf4ccd9384b89598febcb80848e073e569427ecf6edc72a4601,68564986218cc91121d31650508ae1c4d68cfb8337e3d74003bb7cef9f5546e2,a0855a76ca4483142cc3b19907194bfd2a844cf237bb543552388fdd1dc2d44e,NONE,PASS
E7,"Crop, subgroup, and spatial diagnostics are diagnostic and cannot promote a failed primary gate.",Robustness and sensitivity tables,artifacts/audit_records/group_macro_metrics.csv,artifacts/audit/crop/crop_specific_metrics.csv; artifacts/audit_records/min_history_sensitivity.csv; artifacts/audit_records/min_history_population_audit.csv,python scripts/run_extended_audits.py,6da279390d273bca90b2ad7be06dbcdfd5a32c5e683bcfb29ca1daadef31d2d5,dc77a10d4e600575cf4087eaf32d858250ad6cd209c33cb69f30f5889bf84518,fcf531275290d014d1ef9eb4bb1432567c8d49862af7345dd320abdb7d33a9c8,NONE,PASS
E8,Full-series detrending is retrospective and changes event membership relative to train-only targets.,Retrospective target sensitivity; Figure 3,artifacts/audit_records/retrospective_target_comparison.csv,artifacts/audit_records/retrospective_vs_train_only.csv; artifacts/audit_records/target_membership_transition.csv; paper/generated/figure_retrospective_v2.png,python scripts/run_extended_audits.py,58ccc76663c6b2c6ff39fd055a00ec1fa072608c4d7cb274da841ff410aadf19,e22fc89344ad730cc507b270db15f96a940d15afe1ae3df36496ed45a2d2d076,16c5160a863b9e93efabf0d598b87723de28181d06e3cf3746db499d8c8248cd,NONE,PASS
E9,"Baselines, model-family contrasts, and bootstrap schemes use saved vectors and hashes.",Baseline and model comparison tables,artifacts/audit_records/baseline_vector_hashes.csv,artifacts/audit/final_test/seed_aggregated_predictions.csv; artifacts/audit/final_test/row_level_predictions.csv; artifacts/audit_records/expanded_model_baselines.csv; artifacts/audit_records/bootstrap_scheme_comparison.csv,python scripts/run_audit.py --config configs/fidelity_gate.yaml --stage all; python scripts/run_expanded_models.py,346e72772d82964ff8bafb245b584786ee44674586ab1a7195bb629b0d8afdee,2cf5e9f7e24a3a9dbd881e43f6276e64485fc9e64e7cd204e8c88ecdd7458e36,82f3217380034541b9d40d15d5b75724a71e7db1c045edb4ae062a847635de42,NONE,PASS
E10,Every submission-facing number is checked against generated artifacts and the final PDF.,Audit traceability table; final PDF,audit/final_pdf_numerical_crosscheck.json,reports/final_pdf_numerical_crosscheck.md; submission/final_audit.json; submission/pdf_technical_audit.json; submission/ictai2026_venue_compliance.json,python scripts/final_pdf_numerical_crosscheck.py --pdf paper_versions/v3_method_benchmark/source/fidelity_gated_xai_method_benchmark_v3.pdf; python scripts/final_submission_audit.py --pdf paper_versions/v3_method_benchmark/source/fidelity_gated_xai_method_benchmark_v3.pdf,7819a55d0209256d269c068c588832c128ace1d30afe5ae59c67ab988bd2464c,7123bb0e20ca731fc9aec2ef14bb530a205a900a0f29431d1ed70536cfc2e246,475d1a97c4f6c44a00c297fc1ce638c451b8982e9c2a3135b64c69109f2b9576,NONE,PASS
